     setSize,    subjects,    duration,  meanofHits
         172,          23,     53.6997,    500.0000
         173,          19,     71.3688,    500.0000
         174,           9,     13.4343,    500.0000
         175,          18,     48.7143,    500.0000
         176,          16,    127.9635,    500.0000
         177,          23,     33.7299,    500.0000
         178,          12,     65.9894,    500.0000
         179,          14,     39.0673,    500.0000
         180,          22,     50.5669,    500.0000
         181,          16,     47.0281,    500.0000
         182,          18,     56.2913,    500.0000
         183,          15,     30.2565,    500.0000
         184,          26,     21.6125,    500.0000
         185,          20,     29.5556,    500.0000
         186,          20,    128.8620,    500.0000
         187,          11,    169.2824,    500.0000
         188,           8,      6.8544,    500.0000
         189,          13,     15.6526,    500.0000
         190,          12,     68.1428,    500.0000
         191,           7,     32.9743,    500.0000
         192,           5,     48.9625,    500.0000
         193,          14,     19.0049,    500.0000
         194,           8,     47.8801,    500.0000
         195,          18,     23.7811,    500.0000
         196,          17,     35.7140,    500.0000
         197,          11,     30.8938,    500.0000
         198,           7,     16.6920,    500.0000
         199,           8,     31.4395,    500.0000
         200,           6,     55.5367,    500.0000
         201,          12,     30.1955,    500.0000
         202,          10,     15.1900,    500.0000
         203,           7,     42.7413,    500.0000
         204,           9,     22.5080,    500.0000
         205,           6,     28.1787,    500.0000
         206,          11,     27.8376,    500.0000
         207,           8,     83.9628,    500.0000
         208,           3,     14.3799,    500.0000
         209,           7,     48.1816,    500.0000
         210,           5,     14.3942,    500.0000
         211,           8,     75.2603,    500.0000
         212,           9,     21.4820,    500.0000
         213,           4,     18.8260,    500.0000
         214,           3,     21.2039,    500.0000
         215,           4,      3.6354,    500.0000
         216,           9,     24.3135,    500.0000
         217,          10,     55.6579,    500.0000
         218,           4,     42.2198,    500.0000
         219,           1,    134.5700,    500.0000
         220,           8,     27.3516,    500.0000
         221,           3,      5.3132,    500.0000
         222,           3,     23.7486,    500.0000
         223,           7,     51.3641,    500.0000
         224,           5,     19.8196,    500.0000
         225,           2,     12.7089,    500.0000
         226,           4,     19.8065,    500.0000
         227,           7,     28.0636,    500.0000
         228,           6,     16.1944,    500.0000
         229,           6,     39.6376,    500.0000
         230,           4,     38.6985,    500.0000
         231,           5,     12.6681,    500.0000
         232,           3,     13.0855,    500.0000
         233,           3,     13.7659,    500.0000
         234,           2,    174.9586,    500.0000
         235,           7,     52.8913,    500.0000
         236,           2,     37.5938,    500.0000
         237,           5,     46.1047,    500.0000
         238,           2,     82.3010,    500.0000
         239,           7,     34.4519,    500.0000
         240,           1,    148.9717,    500.0000
         241,           1,      0.7716,    500.0000
         242,           3,    158.4958,    500.0000
         243,           2,     14.2234,    500.0000
         244,           3,    189.8791,    500.0000
         245,           1,     43.0988,    500.0000
         246,           2,     12.3582,    500.0000
         247,           1,      0.5729,    500.0000
         249,           1,     18.8559,    500.0000
         250,           2,     15.8400,    500.0000
         251,           1,      2.8210,    500.0000
         252,           2,      1.6429,    500.0000
         253,           3,     37.1029,    500.0000
         254,           3,      8.5172,    500.0000
         256,           1,      4.9305,    500.0000
         258,           1,      0.6661,    500.0000
         259,           1,      0.6495,    500.0000
         260,           1,     13.0802,    500.0000
         262,           2,      6.7668,    500.0000
         263,           1,    273.5646,    500.0000
         264,           3,     11.3682,    500.0000
         265,           2,     37.4345,    500.0000
         266,           3,      5.0261,    500.0000
         267,           3,    146.9993,    500.0000
         268,           2,      7.8354,    500.0000
         269,           1,      1.0534,    500.0000
         270,           1,     22.8503,    500.0000
         272,           1,     80.0686,    500.0000
         274,           3,    165.3953,    500.0000
         277,           1,     65.5970,    500.0000
         278,           2,     26.5945,    500.0000
         280,           3,      7.2754,    500.0000
         284,           2,     14.9079,    500.0000
         285,           1,     21.2361,    500.0000
         286,           1,      0.3516,    500.0000
         288,           1,     83.3521,    500.0000
         289,           1,      1.9122,    500.0000
         293,           1,    253.1564,    500.0000
         295,           1,    149.9779,    500.0000
         297,           1,     37.0346,    500.0000
         298,           1,      6.6391,    500.0000
         301,           1,      0.7850,    500.0000
         305,           1,     25.4281,    500.0000
         307,           1,      3.8751,    500.0000
         313,           1,     67.9025,    500.0000
         349,           1,     16.3130,    500.0000
         372,           1,     19.2298,    500.0000
